Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = log_init_message; message = Current time: 2018 08 06 21:01;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = log_init_message; message = Latest expected update: 2018 08 06 18:00;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = log_init_message; message = Last update: 2017 09 18 12:00;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = log_init_message; message = Progress status: START;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = get_icm_data_list; message = Reading in list of files from ICM server...;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = download_archives; message = Downloading IOPAN1_2018080506.tbz;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = download_archives; message = Downloading IOPAN2_2018080506.tbz;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = download_archives; message = Downloading IOPAN3_2018080506.tbz;
Mon Aug 6 21:01:16 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = extract_data; message = Extracting /Users/arturnowicki/IOPAN/code/icm_data_reader/test_data/tmp_data/IOPAN1_2018080506.tbz;
Mon Aug 6 21:01:40 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = extract_data; message = Extracting /Users/arturnowicki/IOPAN/code/icm_data_reader/test_data/tmp_data/IOPAN2_2018080506.tbz;
Mon Aug 6 21:01:53 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = extract_data; message = Extracting /Users/arturnowicki/IOPAN/code/icm_data_reader/test_data/tmp_data/IOPAN3_2018080506.tbz;
Mon Aug 6 21:03:05 CEST 2018; level = INFO; calling_program = ./icm_data_download.sh; calling_function = main; message = DONE;
